CD_MUNICIPIO,NR_ZONA,DS_GRAU_ESCOLARIDADE,QT_ELEITORES_PERFIL,NM_PARTIDO,NM_MUNICIPIO,QT_TOTAL_VOTOS
84751,6,ENSINO FUNDAMENTAL COMPLETO,224,PROGRESSISTAS,NOVA ROMA DO SUL,1574
84751,6,ENSINO FUNDAMENTAL INCOMPLETO,1325,PROGRESSISTAS,NOVA ROMA DO SUL,1084
84751,6,ENSINO FUNDAMENTAL INCOMPLETO,1325,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1148
84751,6,ENSINO FUNDAMENTAL INCOMPLETO,1325,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1270
84751,6,ENSINO FUNDAMENTAL INCOMPLETO,1325,Partido dos Trabalhadores,NOVA ROMA DO SUL,479
84751,6,ENSINO FUNDAMENTAL INCOMPLETO,1325,PROGRESSISTAS,NOVA ROMA DO SUL,1574
84751,6,ENSINO MÉDIO COMPLETO,621,PROGRESSISTAS,NOVA ROMA DO SUL,1084
84751,6,ENSINO MÉDIO COMPLETO,621,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1148
84751,6,ENSINO MÉDIO COMPLETO,621,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1270
84751,6,ENSINO MÉDIO COMPLETO,621,Partido dos Trabalhadores,NOVA ROMA DO SUL,479
84751,6,ENSINO MÉDIO COMPLETO,621,PROGRESSISTAS,NOVA ROMA DO SUL,1574
84751,6,ENSINO MÉDIO INCOMPLETO,323,PROGRESSISTAS,NOVA ROMA DO SUL,1084
84751,6,ENSINO MÉDIO INCOMPLETO,323,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1148
84751,6,ENSINO MÉDIO INCOMPLETO,323,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1270
84751,6,ENSINO MÉDIO INCOMPLETO,323,Partido dos Trabalhadores,NOVA ROMA DO SUL,479
84751,6,ENSINO MÉDIO INCOMPLETO,323,PROGRESSISTAS,NOVA ROMA DO SUL,1574
84751,6,LÊ E ESCREVE,22,PROGRESSISTAS,NOVA ROMA DO SUL,1084
84751,6,LÊ E ESCREVE,22,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1148
84751,6,LÊ E ESCREVE,22,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1270
84751,6,LÊ E ESCREVE,22,Partido dos Trabalhadores,NOVA ROMA DO SUL,479
84751,6,LÊ E ESCREVE,22,PROGRESSISTAS,NOVA ROMA DO SUL,1574
84751,6,SUPERIOR COMPLETO,268,PROGRESSISTAS,NOVA ROMA DO SUL,1084
84751,6,SUPERIOR COMPLETO,268,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1148
84751,6,SUPERIOR COMPLETO,268,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1270
84751,6,SUPERIOR COMPLETO,268,Partido dos Trabalhadores,NOVA ROMA DO SUL,479
84751,6,SUPERIOR COMPLETO,268,PROGRESSISTAS,NOVA ROMA DO SUL,1574
84751,6,SUPERIOR INCOMPLETO,227,PROGRESSISTAS,NOVA ROMA DO SUL,1084
84751,6,SUPERIOR INCOMPLETO,227,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1148
84751,6,SUPERIOR INCOMPLETO,227,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1270
84751,6,SUPERIOR INCOMPLETO,227,Partido dos Trabalhadores,NOVA ROMA DO SUL,479
84751,6,SUPERIOR INCOMPLETO,227,PROGRESSISTAS,NOVA ROMA DO SUL,1574
84760,29,ANALFABETO,200,Movimento Democrático Brasileiro,PROGRESSO,887
84760,29,ANALFABETO,200,Partido Democrático Trabalhista,PROGRESSO,2060
84760,29,ANALFABETO,200,Partido dos Trabalhadores,PROGRESSO,124
84760,29,ANALFABETO,200,Partido Democrático Trabalhista,PROGRESSO,1251
84760,29,ANALFABETO,200,PROGRESSISTAS,PROGRESSO,2317
84760,29,ANALFABETO,200,PROGRESSISTAS,PROGRESSO,1487
84760,29,ANALFABETO,200,Partido Trabalhista Brasileiro,PROGRESSO,905
84760,29,ENSINO FUNDAMENTAL COMPLETO,390,Movimento Democrático Brasileiro,PROGRESSO,887
84760,29,ENSINO FUNDAMENTAL COMPLETO,390,Partido Democrático Trabalhista,PROGRESSO,2060
84760,29,ENSINO FUNDAMENTAL COMPLETO,390,Partido dos Trabalhadores,PROGRESSO,124
84760,29,ENSINO FUNDAMENTAL COMPLETO,390,Partido Democrático Trabalhista,PROGRESSO,1251
84760,29,ENSINO FUNDAMENTAL COMPLETO,390,PROGRESSISTAS,PROGRESSO,2317
84760,29,ENSINO FUNDAMENTAL COMPLETO,390,PROGRESSISTAS,PROGRESSO,1487
84760,29,ENSINO FUNDAMENTAL COMPLETO,390,Partido Trabalhista Brasileiro,PROGRESSO,905
84760,29,ENSINO FUNDAMENTAL INCOMPLETO,2350,Movimento Democrático Brasileiro,PROGRESSO,887
84760,29,ENSINO FUNDAMENTAL INCOMPLETO,2350,Partido Democrático Trabalhista,PROGRESSO,2060
84760,29,ENSINO FUNDAMENTAL INCOMPLETO,2350,Partido dos Trabalhadores,PROGRESSO,124
84760,29,ENSINO FUNDAMENTAL INCOMPLETO,2350,Partido Democrático Trabalhista,PROGRESSO,1251
84760,29,ENSINO FUNDAMENTAL INCOMPLETO,2350,PROGRESSISTAS,PROGRESSO,2317
84760,29,ENSINO FUNDAMENTAL INCOMPLETO,2350,PROGRESSISTAS,PROGRESSO,1487
84760,29,ENSINO FUNDAMENTAL INCOMPLETO,2350,Partido Trabalhista Brasileiro,PROGRESSO,905
84760,29,ENSINO MÉDIO COMPLETO,686,Movimento Democrático Brasileiro,PROGRESSO,887
84760,29,ENSINO MÉDIO COMPLETO,686,Partido Democrático Trabalhista,PROGRESSO,2060
84760,29,ENSINO MÉDIO COMPLETO,686,Partido dos Trabalhadores,PROGRESSO,124
84760,29,ENSINO MÉDIO COMPLETO,686,Partido Democrático Trabalhista,PROGRESSO,1251
84760,29,ENSINO MÉDIO COMPLETO,686,PROGRESSISTAS,PROGRESSO,2317
84760,29,ENSINO MÉDIO COMPLETO,686,PROGRESSISTAS,PROGRESSO,1487
84760,29,ENSINO MÉDIO COMPLETO,686,Partido Trabalhista Brasileiro,PROGRESSO,905
84760,29,ENSINO MÉDIO INCOMPLETO,472,Movimento Democrático Brasileiro,PROGRESSO,887
84760,29,ENSINO MÉDIO INCOMPLETO,472,Partido Democrático Trabalhista,PROGRESSO,2060
84760,29,ENSINO MÉDIO INCOMPLETO,472,Partido dos Trabalhadores,PROGRESSO,124
84760,29,ENSINO MÉDIO INCOMPLETO,472,Partido Democrático Trabalhista,PROGRESSO,1251
84760,29,ENSINO MÉDIO INCOMPLETO,472,PROGRESSISTAS,PROGRESSO,2317
84760,29,ENSINO MÉDIO INCOMPLETO,472,PROGRESSISTAS,PROGRESSO,1487
84760,29,ENSINO MÉDIO INCOMPLETO,472,Partido Trabalhista Brasileiro,PROGRESSO,905
84760,29,LÊ E ESCREVE,210,Movimento Democrático Brasileiro,PROGRESSO,887
84760,29,LÊ E ESCREVE,210,Partido Democrático Trabalhista,PROGRESSO,2060
84760,29,LÊ E ESCREVE,210,Partido dos Trabalhadores,PROGRESSO,124
84760,29,LÊ E ESCREVE,210,Partido Democrático Trabalhista,PROGRESSO,1251
84760,29,LÊ E ESCREVE,210,PROGRESSISTAS,PROGRESSO,2317
84760,29,LÊ E ESCREVE,210,PROGRESSISTAS,PROGRESSO,1487
84760,29,LÊ E ESCREVE,210,Partido Trabalhista Brasileiro,PROGRESSO,905
84760,29,SUPERIOR COMPLETO,273,Movimento Democrático Brasileiro,PROGRESSO,887
84760,29,SUPERIOR COMPLETO,273,Partido Democrático Trabalhista,PROGRESSO,2060
84760,29,SUPERIOR COMPLETO,273,Partido dos Trabalhadores,PROGRESSO,124
84760,29,SUPERIOR COMPLETO,273,Partido Democrático Trabalhista,PROGRESSO,1251
84760,29,SUPERIOR COMPLETO,273,PROGRESSISTAS,PROGRESSO,2317
84760,29,SUPERIOR COMPLETO,273,PROGRESSISTAS,PROGRESSO,1487
84760,29,SUPERIOR COMPLETO,273,Partido Trabalhista Brasileiro,PROGRESSO,905
84760,29,SUPERIOR INCOMPLETO,206,Movimento Democrático Brasileiro,PROGRESSO,887
84760,29,SUPERIOR INCOMPLETO,206,Partido Democrático Trabalhista,PROGRESSO,2060
84760,29,SUPERIOR INCOMPLETO,206,Partido dos Trabalhadores,PROGRESSO,124
84760,29,SUPERIOR INCOMPLETO,206,Partido Democrático Trabalhista,PROGRESSO,1251
84760,29,SUPERIOR INCOMPLETO,206,PROGRESSISTAS,PROGRESSO,2317
84760,29,SUPERIOR INCOMPLETO,206,PROGRESSISTAS,PROGRESSO,1487
84760,29,SUPERIOR INCOMPLETO,206,Partido Trabalhista Brasileiro,PROGRESSO,905
84778,52,ANALFABETO,136,Movimento Democrático Brasileiro,PIRAPÓ,1096
84778,52,ANALFABETO,136,Movimento Democrático Brasileiro,PIRAPÓ,1092
84778,52,ANALFABETO,136,PROGRESSISTAS,PIRAPÓ,937
84778,52,ANALFABETO,136,PROGRESSISTAS,PIRAPÓ,1051
84778,52,ENSINO FUNDAMENTAL COMPLETO,180,Movimento Democrático Brasileiro,PIRAPÓ,1096
84778,52,ENSINO FUNDAMENTAL COMPLETO,180,Movimento Democrático Brasileiro,PIRAPÓ,1092
84778,52,ENSINO FUNDAMENTAL COMPLETO,180,PROGRESSISTAS,PIRAPÓ,937
84778,52,ENSINO FUNDAMENTAL COMPLETO,180,PROGRESSISTAS,PIRAPÓ,1051
84778,52,ENSINO FUNDAMENTAL INCOMPLETO,1031,Movimento Democrático Brasileiro,PIRAPÓ,1096
84778,52,ENSINO FUNDAMENTAL INCOMPLETO,1031,Movimento Democrático Brasileiro,PIRAPÓ,1092
84778,52,ENSINO FUNDAMENTAL INCOMPLETO,1031,PROGRESSISTAS,PIRAPÓ,937
84778,52,ENSINO FUNDAMENTAL INCOMPLETO,1031,PROGRESSISTAS,PIRAPÓ,1051
84778,52,ENSINO MÉDIO COMPLETO,395,Movimento Democrático Brasileiro,PIRAPÓ,1096
84778,52,ENSINO MÉDIO COMPLETO,395,Movimento Democrático Brasileiro,PIRAPÓ,1092
84778,52,ENSINO MÉDIO COMPLETO,395,PROGRESSISTAS,PIRAPÓ,937
84778,52,ENSINO MÉDIO COMPLETO,395,PROGRESSISTAS,PIRAPÓ,1051
84778,52,ENSINO MÉDIO INCOMPLETO,305,Movimento Democrático Brasileiro,PIRAPÓ,1096
84778,52,ENSINO MÉDIO INCOMPLETO,305,Movimento Democrático Brasileiro,PIRAPÓ,1092
84778,52,ENSINO MÉDIO INCOMPLETO,305,PROGRESSISTAS,PIRAPÓ,937
84778,52,ENSINO MÉDIO INCOMPLETO,305,PROGRESSISTAS,PIRAPÓ,1051
84778,52,LÊ E ESCREVE,97,Movimento Democrático Brasileiro,PIRAPÓ,1096
84778,52,LÊ E ESCREVE,97,Movimento Democrático Brasileiro,PIRAPÓ,1092
84778,52,LÊ E ESCREVE,97,PROGRESSISTAS,PIRAPÓ,937
84778,52,LÊ E ESCREVE,97,PROGRESSISTAS,PIRAPÓ,1051
84778,52,SUPERIOR COMPLETO,125,Movimento Democrático Brasileiro,PIRAPÓ,1096
84778,52,SUPERIOR COMPLETO,125,Movimento Democrático Brasileiro,PIRAPÓ,1092
84778,52,SUPERIOR COMPLETO,125,PROGRESSISTAS,PIRAPÓ,937
84778,52,SUPERIOR COMPLETO,125,PROGRESSISTAS,PIRAPÓ,1051
84778,52,SUPERIOR INCOMPLETO,51,Movimento Democrático Brasileiro,PIRAPÓ,1096
84778,52,SUPERIOR INCOMPLETO,51,Movimento Democrático Brasileiro,PIRAPÓ,1092
84778,52,SUPERIOR INCOMPLETO,51,PROGRESSISTAS,PIRAPÓ,937
84778,52,SUPERIOR INCOMPLETO,51,PROGRESSISTAS,PIRAPÓ,1051
84786,64,ANALFABETO,133,PROGRESSISTAS,JABOTICABA,1501
84786,64,ANALFABETO,133,Partido dos Trabalhadores,JABOTICABA,241
84786,64,ANALFABETO,133,PROGRESSISTAS,JABOTICABA,1478
84786,64,ANALFABETO,133,Partido Democrático Trabalhista,JABOTICABA,1353
84786,64,ANALFABETO,133,Partido Democrático Trabalhista,JABOTICABA,1404
84786,64,ENSINO FUNDAMENTAL COMPLETO,232,PROGRESSISTAS,JABOTICABA,1501
84786,64,ENSINO FUNDAMENTAL COMPLETO,232,Partido dos Trabalhadores,JABOTICABA,241
84786,64,ENSINO FUNDAMENTAL COMPLETO,232,PROGRESSISTAS,JABOTICABA,1478
84786,64,ENSINO FUNDAMENTAL COMPLETO,232,Partido Democrático Trabalhista,JABOTICABA,1353
84786,64,ENSINO FUNDAMENTAL COMPLETO,232,Partido Democrático Trabalhista,JABOTICABA,1404
84786,64,ENSINO FUNDAMENTAL INCOMPLETO,1554,PROGRESSISTAS,JABOTICABA,1501
84786,64,ENSINO FUNDAMENTAL INCOMPLETO,1554,Partido dos Trabalhadores,JABOTICABA,241
84786,64,ENSINO FUNDAMENTAL INCOMPLETO,1554,PROGRESSISTAS,JABOTICABA,1478
84786,64,ENSINO FUNDAMENTAL INCOMPLETO,1554,Partido Democrático Trabalhista,JABOTICABA,1353
84786,64,ENSINO FUNDAMENTAL INCOMPLETO,1554,Partido Democrático Trabalhista,JABOTICABA,1404
84786,64,ENSINO MÉDIO COMPLETO,401,PROGRESSISTAS,JABOTICABA,1501
84786,64,ENSINO MÉDIO COMPLETO,401,Partido dos Trabalhadores,JABOTICABA,241
84786,64,ENSINO MÉDIO COMPLETO,401,PROGRESSISTAS,JABOTICABA,1478
84786,64,ENSINO MÉDIO COMPLETO,401,Partido Democrático Trabalhista,JABOTICABA,1353
84786,64,ENSINO MÉDIO COMPLETO,401,Partido Democrático Trabalhista,JABOTICABA,1404
84786,64,ENSINO MÉDIO INCOMPLETO,417,PROGRESSISTAS,JABOTICABA,1501
84786,64,ENSINO MÉDIO INCOMPLETO,417,Partido dos Trabalhadores,JABOTICABA,241
84786,64,ENSINO MÉDIO INCOMPLETO,417,PROGRESSISTAS,JABOTICABA,1478
84786,64,ENSINO MÉDIO INCOMPLETO,417,Partido Democrático Trabalhista,JABOTICABA,1353
84786,64,ENSINO MÉDIO INCOMPLETO,417,Partido Democrático Trabalhista,JABOTICABA,1404
84786,64,LÊ E ESCREVE,141,PROGRESSISTAS,JABOTICABA,1501
84786,64,LÊ E ESCREVE,141,Partido dos Trabalhadores,JABOTICABA,241
84786,64,LÊ E ESCREVE,141,PROGRESSISTAS,JABOTICABA,1478
84786,64,LÊ E ESCREVE,141,Partido Democrático Trabalhista,JABOTICABA,1353
84786,64,LÊ E ESCREVE,141,Partido Democrático Trabalhista,JABOTICABA,1404
84786,64,SUPERIOR COMPLETO,239,PROGRESSISTAS,JABOTICABA,1501
84786,64,SUPERIOR COMPLETO,239,Partido dos Trabalhadores,JABOTICABA,241
84786,64,SUPERIOR COMPLETO,239,PROGRESSISTAS,JABOTICABA,1478
84786,64,SUPERIOR COMPLETO,239,Partido Democrático Trabalhista,JABOTICABA,1353
84786,64,SUPERIOR COMPLETO,239,Partido Democrático Trabalhista,JABOTICABA,1404
84786,64,SUPERIOR INCOMPLETO,138,PROGRESSISTAS,JABOTICABA,1501
84786,64,SUPERIOR INCOMPLETO,138,Partido dos Trabalhadores,JABOTICABA,241
